run_key,algorithm,dataset,n_layers,n_qubits,prune_ratio,drop_prob,accumulate_window,prune_window,n_drop_wires,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc
baseline_MUTAG_L1_Q4,baseline,MUTAG,1,4,,,,,,0.7391812865497076,0.11693567017497064,0.8408982683982684,0.09799029590374057,0.7576923076923077,0.13451766905247423,0.7909476538786884,0.09637329450300965,0.7389957264957265,0.1265521610894717,0.8714084172797557,0.06432070972016665
baseline_MUTAG_L1_Q8,baseline,MUTAG,1,8,,,,,,0.7497076023391813,0.08613779012641856,0.831965008675535,0.0982691939017661,0.8153846153846154,0.1551705812008738,0.8079891867391866,0.07330271056941853,0.727075702075702,0.16248410668258165,0.859793830467205,0.09402580495290845
baseline_PROTEINS_L1_Q4,baseline,PROTEINS,1,4,,,,,,0.6891248391248391,0.035611485643087575,0.6502262692943163,0.0709200479503728,0.5355555555555556,0.08632410933135569,0.5797033276348065,0.04924662137578947,0.67311799587919,0.04569213954821368,0.6298557949022907,0.0632512036108121
baseline_PROTEINS_L1_Q8,baseline,PROTEINS,1,8,,,,,,0.6873069498069497,0.037417660364805046,0.631410648835142,0.053508543052147486,0.5466666666666667,0.08326663997864531,0.5832401290086263,0.06224637571804693,0.6656369666817428,0.05688054598291715,0.6245921784051399,0.06594712718488716
pruning_MUTAG_L1_Q4_PR0.5_AW10_PW8,pruning,MUTAG,1,4,0.5,,10,8,,0.7336257309941521,0.10369568810717306,0.813591992802519,0.09940208493955506,0.8070512820512821,0.17471800328132026,0.794319153069153,0.09479224238818154,0.6651862026862028,0.20898487983501846,0.8213853037145041,0.1273239656471353
pruning_MUTAG_L1_Q4_PR0.8_AW10_PW8,pruning,MUTAG,1,4,0.8,,10,8,,0.7546783625730995,0.07754273503457992,0.7836157238014824,0.08411500723408369,0.9012820512820513,0.10984568699175375,0.8298997500084457,0.05065478352086926,0.729471916971917,0.1472425125643079,0.8706341312339765,0.07336005574281734
pruning_MUTAG_L1_Q4_PR0.9_AW10_PW8,pruning,MUTAG,1,4,0.9,,10,8,,0.7710526315789473,0.07527806029392321,0.8441281233386497,0.09335975239267362,0.8288461538461538,0.11499399692761601,0.8264841185384665,0.05544106148006562,0.7492368742368742,0.14963007544297893,0.8797712744661423,0.06610405524820791
pruning_MUTAG_L1_Q8_PR0.5_AW10_PW8,pruning,MUTAG,1,8,0.5,,10,8,,0.7605263157894736,0.08593158840124651,0.8418364968364969,0.09110932623863255,0.8057692307692308,0.10630400936141421,0.8160604367841394,0.06327933248709987,0.7616300366300367,0.13105613207152342,0.8803616564139161,0.06379047924548195
pruning_MUTAG_L1_Q8_PR0.8_AW10_PW8,pruning,MUTAG,1,8,0.8,,10,8,,0.7388888888888889,0.08460403914120693,0.8141376726129048,0.104475305789122,0.8288461538461538,0.16698810226626276,0.8027771083692136,0.07222361289013507,0.7311507936507936,0.12605690556307259,0.8710095742535758,0.05746830192566534
pruning_MUTAG_L1_Q8_PR0.9_AW10_PW8,pruning,MUTAG,1,8,0.9,,10,8,,0.7391812865497076,0.12580441212908755,0.8215884407989671,0.10945590251687473,0.7974358974358975,0.12808327542574396,0.8015201935745413,0.09047176530669893,0.7554029304029305,0.14616002052051533,0.8807822344532722,0.06670258430775725
pruning_PROTEINS_L1_Q4_PR0.5_AW10_PW8,pruning,PROTEINS,1,4,0.5,,10,8,,0.6899774774774775,0.024786623426504024,0.6380328629165838,0.04107844524410727,0.5511111111111111,0.07013215039137555,0.5877374732547147,0.0427542409154202,0.6748552691090003,0.03408796394948759,0.6229608480175769,0.058888481680501474
pruning_PROTEINS_L1_Q4_PR0.8_AW10_PW8,pruning,PROTEINS,1,4,0.8,,10,8,,0.6783140283140283,0.029232765321769612,0.6610725955898139,0.09165878353507284,0.4688888888888889,0.13386929317181362,0.5287577374367727,0.09875252222751213,0.608012211668928,0.06753650908709087,0.583242726823184,0.06305725779296623
pruning_PROTEINS_L1_Q4_PR0.9_AW10_PW8,pruning,PROTEINS,1,4,0.9,,10,8,,0.682778314028314,0.0420010054318402,0.6453630906977589,0.060253927413667245,0.49333333333333335,0.11875901525233233,0.5492314259437434,0.0923164623368762,0.6330164832403637,0.05560250714156976,0.5971887061426747,0.05601676494771124
pruning_PROTEINS_L1_Q8_PR0.5_AW10_PW8,pruning,PROTEINS,1,8,0.5,,10,8,,0.6783220720720722,0.03330038986081728,0.6760727849901011,0.11994466663649198,0.48,0.1603083448610794,0.5264731800242377,0.14182312857093674,0.6428207447610432,0.07229889380778161,0.6129594278032109,0.07368158801388862
pruning_PROTEINS_L1_Q8_PR0.8_AW10_PW8,pruning,PROTEINS,1,8,0.8,,10,8,,0.6891570141570142,0.037054341265755505,0.6299767254993202,0.05615325751676653,0.5666666666666667,0.07965977035082186,0.5936919357849242,0.060141951920769605,0.6742416704357003,0.04905893069427763,0.6222646175822237,0.07227359825521519
pruning_PROTEINS_L1_Q8_PR0.9_AW10_PW8,pruning,PROTEINS,1,8,0.9,,10,8,,0.6873310810810811,0.03229074371013413,0.6319479736741163,0.052518006902284274,0.5577777777777777,0.08101211614914747,0.5882097187522897,0.05348434628208878,0.6650276395798784,0.055063529318561906,0.6260461316869856,0.0632715708052015
dropout_MUTAG_L1_Q4_DP0.3_NW1,dropout,MUTAG,1,4,,0.3,,,1,0.7654970760233918,0.08014896701292076,0.8310175282234106,0.08722512953475044,0.839102564102564,0.1505919178002985,0.8215693346756847,0.0725091402230908,0.7485805860805861,0.12558017684171344,0.8734891031696819,0.06683338954544488
